epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,967.367,0.64355,0.16247,0.81187,0.99928,1,0.995,0.90722,0.51913,0.12227,0.70793,0.0005622,0.0005622,0.0005622
46,988.681,0.65361,0.16392,0.81164,0.99927,1,0.995,0.92438,0.45177,0.11632,0.70641,0.00055225,0.00055225,0.00055225
47,1010.04,0.65241,0.16364,0.81954,0.99929,1,0.995,0.91889,0.46333,0.11816,0.70541,0.0005423,0.0005423,0.0005423
48,1031.44,0.63957,0.16266,0.81201,0.99903,1,0.995,0.92111,0.44842,0.11509,0.70625,0.00053235,0.00053235,0.00053235
49,1052.96,0.62811,0.159,0.81452,0.99927,1,0.995,0.90619,0.4897,0.12019,0.70766,0.0005224,0.0005224,0.0005224
50,1075.82,0.64615,0.1625,0.81396,0.99915,1,0.995,0.93712,0.42119,0.11012,0.70319,0.00051245,0.00051245,0.00051245
51,1098.06,0.63263,0.15835,0.8118,0.99907,1,0.995,0.91486,0.4839,0.11279,0.70672,0.0005025,0.0005025,0.0005025
52,1119.56,0.62992,0.16016,0.8127,0.99933,1,0.995,0.92517,0.45527,0.11327,0.70384,0.00049255,0.00049255,0.00049255
53,1141.41,0.62222,0.15681,0.81278,0.99923,1,0.995,0.91375,0.45508,0.11039,0.70308,0.0004826,0.0004826,0.0004826
54,1163.23,0.61656,0.15526,0.80978,0.99868,1,0.995,0.92297,0.44956,0.11308,0.7048,0.00047265,0.00047265,0.00047265
55,1184.81,0.61146,0.15481,0.81038,0.9993,1,0.995,0.92638,0.44031,0.10872,0.70257,0.0004627,0.0004627,0.0004627
56,1205.92,0.62219,0.15749,0.80985,0.99903,1,0.995,0.9277,0.41293,0.11329,0.70152,0.00045275,0.00045275,0.00045275
57,1227.55,0.60222,0.15235,0.80854,0.99908,1,0.995,0.92327,0.44704,0.11388,0.70212,0.0004428,0.0004428,0.0004428
58,1248.66,0.60245,0.15323,0.80757,0.99919,1,0.995,0.93641,0.41862,0.1029,0.70074,0.00043285,0.00043285,0.00043285
59,1269.69,0.61209,0.1526,0.80862,0.99939,1,0.995,0.93689,0.41559,0.10262,0.70182,0.0004229,0.0004229,0.0004229
60,1290.74,0.60078,0.15205,0.80958,0.99924,1,0.995,0.94478,0.38248,0.10387,0.70027,0.00041295,0.00041295,0.00041295
61,1312.05,0.59954,0.14935,0.80951,0.9994,1,0.995,0.9426,0.37802,0.10208,0.70024,0.000403,0.000403,0.000403
62,1333.38,0.59388,0.14895,0.8081,0.99938,1,0.995,0.92389,0.45616,0.10862,0.70201,0.00039305,0.00039305,0.00039305
63,1354.97,0.58616,0.14806,0.80827,0.99908,1,0.995,0.9396,0.40921,0.10483,0.6991,0.0003831,0.0003831,0.0003831
64,1376.57,0.58574,0.14764,0.80525,0.99949,1,0.995,0.93929,0.4018,0.09958,0.70081,0.00037315,0.00037315,0.00037315
65,1397.78,0.58236,0.14645,0.80594,0.99945,1,0.995,0.93343,0.43119,0.10592,0.70234,0.0003632,0.0003632,0.0003632
66,1419,0.57223,0.14439,0.80533,0.99934,1,0.995,0.94882,0.38281,0.09741,0.70027,0.00035325,0.00035325,0.00035325
67,1440.34,0.58064,0.14469,0.80969,0.99946,1,0.995,0.94626,0.40519,0.10203,0.70066,0.0003433,0.0003433,0.0003433
68,1461.66,0.57037,0.14214,0.80534,0.99932,1,0.995,0.93776,0.42208,0.09999,0.70027,0.00033335,0.00033335,0.00033335
69,1482.98,0.56345,0.1425,0.8071,0.99924,1,0.995,0.93704,0.40161,0.09954,0.69972,0.0003234,0.0003234,0.0003234
70,1504.26,0.5671,0.14191,0.80204,0.99938,1,0.995,0.93541,0.39005,0.09678,0.69935,0.00031345,0.00031345,0.00031345
71,1525.53,0.56308,0.14185,0.80802,0.99944,1,0.995,0.94103,0.37841,0.09666,0.69919,0.0003035,0.0003035,0.0003035
72,1547.07,0.5596,0.13838,0.80484,0.99929,1,0.995,0.93288,0.41798,0.09817,0.70078,0.00029355,0.00029355,0.00029355
73,1568.62,0.55261,0.13908,0.80476,0.99928,1,0.995,0.94372,0.38547,0.09679,0.69816,0.0002836,0.0002836,0.0002836
74,1590.28,0.55012,0.13749,0.80188,0.99936,1,0.995,0.93953,0.39017,0.09528,0.69865,0.00027365,0.00027365,0.00027365
75,1612.37,0.5497,0.1381,0.80346,0.99937,1,0.995,0.93986,0.38005,0.09516,0.69823,0.0002637,0.0002637,0.0002637
76,1634.18,0.54688,0.137,0.80535,0.99933,1,0.995,0.94402,0.36267,0.08943,0.69702,0.00025375,0.00025375,0.00025375
77,1655.36,0.53852,0.13526,0.8022,0.99948,1,0.995,0.94242,0.36685,0.09266,0.69625,0.0002438,0.0002438,0.0002438
78,1676.92,0.53911,0.13459,0.80136,0.9994,1,0.995,0.94008,0.36854,0.09206,0.6974,0.00023385,0.00023385,0.00023385
79,1698.65,0.53927,0.13585,0.80538,0.99942,1,0.995,0.93714,0.36238,0.09172,0.69621,0.0002239,0.0002239,0.0002239
80,1720.13,0.53338,0.13406,0.8045,0.99943,1,0.995,0.9489,0.35503,0.09121,0.69618,0.00021395,0.00021395,0.00021395
81,1741.34,0.53328,0.1329,0.80339,0.99943,1,0.995,0.94707,0.36547,0.09077,0.69608,0.000204,0.000204,0.000204
82,1762.78,0.52614,0.13261,0.80253,0.99939,1,0.995,0.94703,0.35345,0.09032,0.69555,0.00019405,0.00019405,0.00019405
83,1784.21,0.52542,0.13104,0.80296,0.99937,1,0.995,0.94622,0.35088,0.08874,0.6949,0.0001841,0.0001841,0.0001841
84,1805.58,0.52753,0.13055,0.79964,0.99952,1,0.995,0.95277,0.35018,0.08849,0.69547,0.00017415,0.00017415,0.00017415
85,1826.77,0.51926,0.13036,0.80089,0.99936,1,0.995,0.95156,0.34737,0.08704,0.69553,0.0001642,0.0001642,0.0001642
86,1848.11,0.51532,0.12805,0.80036,0.99945,1,0.995,0.95155,0.34257,0.08667,0.69531,0.00015425,0.00015425,0.00015425
87,1869.36,0.51736,0.12833,0.80036,0.99939,1,0.995,0.95305,0.33384,0.08493,0.69467,0.0001443,0.0001443,0.0001443
88,1890.67,0.5097,0.12699,0.8005,0.99939,1,0.995,0.95101,0.35083,0.08605,0.69522,0.00013435,0.00013435,0.00013435
89,1911.89,0.51479,0.12776,0.80027,0.99946,1,0.995,0.9571,0.33441,0.08567,0.69433,0.0001244,0.0001244,0.0001244
90,1932.93,0.50958,0.12651,0.80358,0.99956,1,0.995,0.95638,0.33233,0.08661,0.69431,0.00011445,0.00011445,0.00011445
91,1953.76,0.42854,0.10934,0.78395,0.99944,1,0.995,0.95585,0.3309,0.08392,0.69448,0.0001045,0.0001045,0.0001045
92,1973.6,0.40662,0.10554,0.77594,0.99937,1,0.995,0.95508,0.32962,0.08353,0.69438,9.455e-05,9.455e-05,9.455e-05
93,1993.62,0.40626,0.10394,0.77859,0.99943,1,0.995,0.95563,0.34491,0.0858,0.69487,8.46e-05,8.46e-05,8.46e-05
94,2013.79,0.39842,0.10275,0.77909,0.99948,1,0.995,0.95114,0.34547,0.08613,0.69478,7.465e-05,7.465e-05,7.465e-05
95,2033.69,0.39076,0.10083,0.77848,0.99948,1,0.995,0.95471,0.34285,0.08437,0.69444,6.47e-05,6.47e-05,6.47e-05
96,2053.73,0.38767,0.09998,0.78138,0.9995,1,0.995,0.955,0.33264,0.08295,0.69369,5.475e-05,5.475e-05,5.475e-05
97,2073.8,0.38978,0.09968,0.77691,0.99942,1,0.995,0.95798,0.33408,0.08352,0.694,4.48e-05,4.48e-05,4.48e-05
98,2093.75,0.37843,0.09844,0.77872,0.99946,1,0.995,0.95914,0.33395,0.08321,0.69375,3.485e-05,3.485e-05,3.485e-05
99,2113.77,0.37665,0.09742,0.77669,0.9995,1,0.995,0.95599,0.33426,0.08257,0.6938,2.49e-05,2.49e-05,2.49e-05
100,2134.03,0.38098,0.09806,0.78046,0.99949,1,0.995,0.95622,0.33563,0.08228,0.69376,1.495e-05,1.495e-05,1.495e-05
