epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1210.72,0.83209,0.13688,0.81961,0.98696,0.9826,0.99486,0.87276,0.66341,0.11181,0.72606,0.00059205,0.00059205,0.00059205
43,1238.26,0.83009,0.13715,0.81579,0.99491,0.99868,0.995,0.88513,0.61852,0.08259,0.72485,0.0005821,0.0005821,0.0005821
44,1266.32,0.80597,0.13347,0.81715,0.98462,0.99781,0.99487,0.88749,0.59072,0.09439,0.72338,0.00057215,0.00057215,0.00057215
45,1294.36,0.80356,0.12959,0.81312,0.99832,0.99728,0.99498,0.88484,0.59534,0.07714,0.72603,0.0005622,0.0005622,0.0005622
46,1322.47,0.81607,0.13241,0.81253,0.99861,1,0.995,0.89319,0.58942,0.07238,0.72253,0.00055225,0.00055225,0.00055225
47,1350.45,0.81685,0.13546,0.81887,0.99844,0.9985,0.995,0.89667,0.58231,0.07547,0.72121,0.0005423,0.0005423,0.0005423
48,1378.35,0.79393,0.12985,0.81177,0.99578,0.9927,0.9949,0.88053,0.59845,0.08327,0.72502,0.00053235,0.00053235,0.00053235
49,1406.78,0.79612,0.12846,0.81657,0.99777,0.99836,0.995,0.8697,0.63152,0.08221,0.72858,0.0005224,0.0005224,0.0005224
50,1434.83,0.80037,0.13162,0.81338,0.99066,0.99985,0.99499,0.88386,0.59927,0.07921,0.72382,0.00051245,0.00051245,0.00051245
51,1463.18,0.78425,0.12897,0.81216,0.99578,0.99638,0.99498,0.89125,0.57408,0.07466,0.72061,0.0005025,0.0005025,0.0005025
52,1491.19,0.77309,0.13291,0.81306,0.99657,0.99632,0.99496,0.90429,0.56182,0.0866,0.72252,0.00049255,0.00049255,0.00049255
53,1519.29,0.77736,0.12972,0.8132,0.99292,0.98763,0.99482,0.89456,0.57018,0.09304,0.72087,0.0004826,0.0004826,0.0004826
54,1547.33,0.76582,0.12281,0.81111,0.98644,0.998,0.995,0.89688,0.559,0.09529,0.72009,0.00047265,0.00047265,0.00047265
55,1575.49,0.76002,0.1211,0.81113,0.98962,0.9943,0.99492,0.89538,0.57284,0.09458,0.72047,0.0004627,0.0004627,0.0004627
56,1603.95,0.77714,0.13119,0.8099,0.98594,0.99702,0.99489,0.90076,0.53583,0.08078,0.71936,0.00045275,0.00045275,0.00045275
57,1632.35,0.75075,0.1232,0.80806,0.98835,0.99866,0.9949,0.89446,0.57131,0.08095,0.71781,0.0004428,0.0004428,0.0004428
58,1660.69,0.74315,0.12376,0.80801,0.99073,0.99101,0.99435,0.88589,0.60309,0.08701,0.71851,0.00043285,0.00043285,0.00043285
59,1688.88,0.75269,0.12215,0.80674,0.98386,0.98928,0.99406,0.8805,0.62024,0.0983,0.72393,0.0004229,0.0004229,0.0004229
60,1717.25,0.74872,0.12172,0.81037,0.9968,0.99504,0.995,0.88801,0.5831,0.07944,0.71934,0.00041295,0.00041295,0.00041295
61,1745.26,0.7397,0.11788,0.80998,0.99592,0.99557,0.995,0.90782,0.54023,0.07789,0.7171,0.000403,0.000403,0.000403
62,1773.56,0.74288,0.1227,0.80938,0.98377,0.98615,0.99287,0.89574,0.54681,0.09169,0.71754,0.00039305,0.00039305,0.00039305
63,1801.48,0.72984,0.12056,0.80911,0.99284,0.9752,0.99452,0.89024,0.58242,0.09818,0.72015,0.0003831,0.0003831,0.0003831
64,1829.55,0.73934,0.12011,0.80473,0.99198,0.99058,0.99474,0.89779,0.55532,0.08291,0.71775,0.00037315,0.00037315,0.00037315
