epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,10267.5,0.30843,0.09409,0.7857,1,1,0.995,0.98231,0.20972,0.06056,0.73222,0.0005622,0.0005622,0.0005622
46,10487.9,0.30757,0.09325,0.78498,1,1,0.995,0.98288,0.20744,0.0607,0.73218,0.00055225,0.00055225,0.00055225
47,10709.6,0.30551,0.09296,0.78596,1,1,0.995,0.98308,0.20514,0.06074,0.7321,0.0005423,0.0005423,0.0005423
48,10930,0.30305,0.09194,0.78569,1,1,0.995,0.9828,0.20419,0.06048,0.73209,0.00053235,0.00053235,0.00053235
49,11152.6,0.3012,0.09168,0.78594,1,1,0.995,0.98314,0.20188,0.05985,0.732,0.0005224,0.0005224,0.0005224
50,11372.6,0.30095,0.09123,0.78514,1,1,0.995,0.98327,0.19959,0.0593,0.73195,0.00051245,0.00051245,0.00051245
51,11600.1,0.29777,0.09078,0.7854,1,1,0.995,0.98346,0.1987,0.05879,0.73188,0.0005025,0.0005025,0.0005025
52,11826.4,0.29663,0.08998,0.78476,1,1,0.995,0.98304,0.19776,0.05906,0.73181,0.00049255,0.00049255,0.00049255
53,12052.8,0.29385,0.08895,0.7852,1,1,0.995,0.98339,0.19685,0.05885,0.7318,0.0004826,0.0004826,0.0004826
54,12277.9,0.293,0.08898,0.78538,1,1,0.995,0.98389,0.19404,0.05803,0.73174,0.00047265,0.00047265,0.00047265
55,12510.2,0.29211,0.08856,0.78521,1,1,0.995,0.98436,0.19291,0.05771,0.73165,0.0004627,0.0004627,0.0004627
56,12740.9,0.28932,0.08797,0.7841,1,1,0.995,0.98398,0.19059,0.05738,0.73161,0.00045275,0.00045275,0.00045275
57,12967.9,0.28734,0.08716,0.78455,1,1,0.995,0.98424,0.18973,0.05716,0.73154,0.0004428,0.0004428,0.0004428
58,13195.3,0.28561,0.08697,0.78475,1,1,0.995,0.98448,0.18861,0.05701,0.73146,0.00043285,0.00043285,0.00043285
59,13418.4,0.2846,0.08653,0.78494,1,1,0.995,0.98445,0.18719,0.05666,0.73141,0.0004229,0.0004229,0.0004229
60,13637.8,0.28242,0.08588,0.78505,1,1,0.995,0.98461,0.18564,0.05656,0.73134,0.00041295,0.00041295,0.00041295
61,13863.9,0.28239,0.08536,0.78457,1,1,0.995,0.98463,0.18524,0.0561,0.73133,0.000403,0.000403,0.000403
62,14088.9,0.28023,0.08516,0.78389,1,1,0.995,0.98467,0.18504,0.05577,0.73127,0.00039305,0.00039305,0.00039305
63,14315.3,0.27878,0.08465,0.78464,1,1,0.995,0.984,0.18564,0.0558,0.73124,0.0003831,0.0003831,0.0003831
64,14538.9,0.27616,0.0837,0.7836,1,1,0.995,0.98407,0.18554,0.05585,0.7312,0.00037315,0.00037315,0.00037315
65,14760,0.27559,0.08326,0.78382,1,1,0.995,0.98324,0.18728,0.05575,0.73117,0.0003632,0.0003632,0.0003632
66,14976.2,0.2733,0.08309,0.78399,1,1,0.995,0.98244,0.18684,0.05565,0.73112,0.00035325,0.00035325,0.00035325
67,15199.2,0.27268,0.08244,0.78451,1,1,0.995,0.98372,0.18671,0.05561,0.73109,0.0003433,0.0003433,0.0003433
68,15422.5,0.27058,0.0821,0.78379,1,1,0.995,0.9838,0.1853,0.05518,0.73106,0.00033335,0.00033335,0.00033335
69,15644.1,0.27012,0.08176,0.78419,1,1,0.995,0.98373,0.1847,0.05496,0.73102,0.0003234,0.0003234,0.0003234
70,15864.4,0.26699,0.08083,0.7834,1,1,0.995,0.98399,0.18376,0.05457,0.73096,0.00031345,0.00031345,0.00031345
71,16085.4,0.26561,0.08067,0.78318,1,1,0.995,0.98436,0.18245,0.05443,0.73095,0.0003035,0.0003035,0.0003035
72,16305.5,0.26563,0.08043,0.78275,1,1,0.995,0.98415,0.18175,0.05449,0.73088,0.00029355,0.00029355,0.00029355
73,16525.8,0.26346,0.07972,0.78377,1,1,0.995,0.98431,0.18087,0.05361,0.73077,0.0002836,0.0002836,0.0002836
74,16744.3,0.26299,0.07939,0.78292,1,1,0.995,0.98429,0.1808,0.05364,0.73071,0.00027365,0.00027365,0.00027365
75,16962.9,0.26061,0.07863,0.78302,1,1,0.995,0.98446,0.18005,0.05314,0.73067,0.0002637,0.0002637,0.0002637
76,17185,0.25936,0.07879,0.78228,1,1,0.995,0.98434,0.17963,0.05314,0.73065,0.00025375,0.00025375,0.00025375
77,17406,0.25891,0.07817,0.78194,1,1,0.995,0.9848,0.17868,0.05289,0.7306,0.0002438,0.0002438,0.0002438
78,17624.9,0.25834,0.07763,0.78298,1,1,0.995,0.98489,0.17819,0.05289,0.73054,0.00023385,0.00023385,0.00023385
79,17845,0.25732,0.07733,0.78208,1,1,0.995,0.98427,0.17838,0.05256,0.7305,0.0002239,0.0002239,0.0002239
80,18066.4,0.2541,0.07686,0.78231,1,1,0.995,0.98431,0.17875,0.0527,0.73047,0.00021395,0.00021395,0.00021395
81,18284.4,0.25379,0.07653,0.78243,1,1,0.995,0.98415,0.17889,0.053,0.73045,0.000204,0.000204,0.000204
82,18504.3,0.24986,0.0757,0.78267,1,1,0.995,0.98415,0.17848,0.05254,0.73042,0.00019405,0.00019405,0.00019405
83,18729,0.25114,0.0757,0.78301,1,1,0.995,0.9844,0.17809,0.0526,0.73038,0.0001841,0.0001841,0.0001841
84,18950.9,0.2489,0.07501,0.78157,1,1,0.995,0.98466,0.17715,0.05225,0.73037,0.00017415,0.00017415,0.00017415
85,19174.5,0.24816,0.07456,0.78201,1,1,0.995,0.98454,0.17622,0.05211,0.73035,0.0001642,0.0001642,0.0001642
86,19398.5,0.24683,0.07389,0.78174,1,1,0.995,0.98532,0.17562,0.05222,0.7303,0.00015425,0.00015425,0.00015425
87,19623.9,0.24562,0.0737,0.78146,1,1,0.995,0.98545,0.17534,0.05229,0.73027,0.0001443,0.0001443,0.0001443
88,19850.3,0.2436,0.07337,0.78236,1,1,0.995,0.98596,0.17453,0.05217,0.73024,0.00013435,0.00013435,0.00013435
89,20069.7,0.24112,0.07281,0.78234,1,1,0.995,0.98612,0.17374,0.05199,0.73017,0.0001244,0.0001244,0.0001244
90,20288,0.24147,0.07256,0.78229,1,1,0.995,0.98583,0.1727,0.05185,0.73014,0.00011445,0.00011445,0.00011445
91,20494.7,0.166,0.05274,0.75387,1,1,0.995,0.98669,0.17164,0.05165,0.73005,0.0001045,0.0001045,0.0001045
92,20702.6,0.158,0.05075,0.75463,1,1,0.995,0.98807,0.16982,0.05124,0.73001,9.455e-05,9.455e-05,9.455e-05
93,20910.5,0.15427,0.04965,0.75349,1,1,0.995,0.98835,0.16746,0.05075,0.72994,8.46e-05,8.46e-05,8.46e-05
94,21116.8,0.15142,0.04896,0.7532,1,1,0.995,0.9887,0.16685,0.05074,0.72989,7.465e-05,7.465e-05,7.465e-05
95,21323.3,0.14931,0.04803,0.75325,1,1,0.995,0.98882,0.16545,0.04998,0.72985,6.47e-05,6.47e-05,6.47e-05
96,21528.9,0.1469,0.04746,0.75346,1,1,0.995,0.98978,0.1646,0.04996,0.72982,5.475e-05,5.475e-05,5.475e-05
97,21732,0.14561,0.04707,0.75378,1,1,0.995,0.98992,0.16288,0.04928,0.72974,4.48e-05,4.48e-05,4.48e-05
98,21932.7,0.1442,0.04639,0.75382,1,1,0.995,0.99021,0.16092,0.04873,0.72967,3.485e-05,3.485e-05,3.485e-05
99,22136.5,0.14241,0.04584,0.75317,1,1,0.995,0.99067,0.16053,0.04833,0.72963,2.49e-05,2.49e-05,2.49e-05
100,22345.4,0.14076,0.04522,0.75405,0.99999,1,0.995,0.99071,0.15971,0.04843,0.7296,1.495e-05,1.495e-05,1.495e-05
